UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Pulla Canseco,@CansecoPulla,2022-01-11T13:42:35.000Z,"Pulla Canseco
@CansecoPulla
·
Jan 11","Normalize getting straight to the point when u talk to people..
14
17",,,14,17,[],https://twitter.com/CansecoPulla/status/1480897934413770762
Vidhya,@ro_vidh,2022-01-11T14:07:29.000Z,"Vidhya
@ro_vidh
·
Jan 11","Nee En usuru pulla and #Neethaanada 

These 2 songs are gonna top my favourite list of hers for sure 
@sivaangi_k
 

#Sivaangi
1
21
40",❤,1,21,40,[],https://twitter.com/ro_vidh/status/1480904199642615813
Wave East,@BreadPulla,2022-01-11T23:53:09.000Z,"Wave East
@BreadPulla
·
14h","A lot of y’all
GIF",,,,,['https://pbs.twimg.com/tweet_video_thumb/FI3AkJAXMAkI9Cc.jpg'],https://twitter.com/BreadPulla/status/1481051585488863236
Swayze,@SliccPulla_,2022-01-11T13:46:33.000Z,"Swayze
@SliccPulla_
·
Jan 11","I’m tryna go 12 months no fumble 
2
2",💸 💸 💰 💯,,2,2,[],https://twitter.com/SliccPulla_/status/1480898932121161729
Swayze,@SliccPulla_,2022-01-11T00:49:16.000Z,"Swayze
@SliccPulla_
·
Jan 10","Clubbing don't excite me. I wanna try new restaurants
3
4",💸 💸,,3,4,[],https://twitter.com/SliccPulla_/status/1480703320541089793
Around About Britain,@aroundaboutbrit,2022-01-11T10:31:51.000Z,"Around About Britain
@aroundaboutbrit
·
Jan 11","Pack up your suitcase & enjoy a family break at Pulla Farm Holidays. The delightful holiday home is just a short drive from Truro & offers homely accommodation on a working farm.
http://aroundaboutbritain.co.uk/Cornwall/12982
#Holiday #WorkingFarm #Family #Rural #Coast #Beach #Frogpool #Truro #Cornwall
1
1",,,1,1,['https://pbs.twimg.com/media/FI0JDANXEAIqeVa?format=jpg&name=small'],https://twitter.com/aroundaboutbrit/status/1480849933087477761
sunilraju pulla,@pulla_sunilraju,2022-01-11T05:37:25.000Z,"sunilraju pulla
@pulla_sunilraju
·
Jan 11",Pls help me,,,,,['https://pbs.twimg.com/media/FIzFxEfVQAMSa9a?format=jpg&name=900x900'],https://twitter.com/pulla_sunilraju/status/1480775835342626816
Swayze,@SliccPulla_,2022-01-11T16:34:35.000Z,"Swayze
@SliccPulla_
·
22h","Family is who treat you like family. Not who you related to
1",💸 💸 ‼,,1,,[],https://twitter.com/SliccPulla_/status/1480941216481042432
Swayze,@SliccPulla_,2022-01-11T15:18:18.000Z,"Swayze
@SliccPulla_
·
23h","Shit you in yo prime 
Only OneMe
@MsToyaBabii229
 · Jan 11
Whew, I'll be 35 next week
1
1",💸 💸 ⭐ 💫 ⭐ ⭐ 💫 ⭐ 😩 ❤ 😊,,1,1,['https://pbs.twimg.com/profile_images/1480192634043965451/Ii2xrmnI_mini.jpg'],https://twitter.com/SliccPulla_/status/1480922021232054273
Josh,@thepanda23_,2022-01-11T08:56:24.000Z,"Josh
@thepanda23_
·
Jan 11","Playaz Circle ft. Lil Wayne, Rick Ross, Young Jeezy, Slick Pulla, Juelz Santana, Birdman & Jay Z - Duffle Bag Boy Remix on #SoundCloud
https://soundcloud.app.goo.gl/N2Wis",,,,,['https://pbs.twimg.com/media/FIzzUXFXIAAHgsk?format=jpg&name=small'],https://twitter.com/thepanda23_/status/1480825911473811463
Swayze,@SliccPulla_,2022-01-11T23:23:15.000Z,"Swayze
@SliccPulla_
·
15h","Yo happiness will make you a Target fah miserable ass people
2",💸 💸,,,2,[],https://twitter.com/SliccPulla_/status/1481044063042289668
Pulla Canseco,@CansecoPulla,2022-01-11T13:19:03.000Z,"Pulla Canseco
@CansecoPulla
·
Jan 11","Guidance & Protection 
1
1",,,1,1,[],https://twitter.com/CansecoPulla/status/1480892011142074371
Swayze,@SliccPulla_,2022-01-11T16:30:49.000Z,"Swayze
@SliccPulla_
·
22h","When she start talkin like you >>>
1",💸 💸,,,1,[],https://twitter.com/SliccPulla_/status/1480940268992016388
Swayze,@SliccPulla_,2022-01-11T19:58:53.000Z,"Swayze
@SliccPulla_
·
18h",C'mon 6:30. Ready to go nih ,💸 💸 ⏳,,,,[],https://twitter.com/SliccPulla_/status/1480992632193142784
Swayze,@SliccPulla_,2022-01-11T03:16:04.000Z,"Swayze
@SliccPulla_
·
Jan 10"," damn
Tee
@doubletluxe
 · Jan 10
Idk why my ex kids was waving at me today i dont fuck with y’all no more 
1",💸 💸 😂 😂 😂 😑,,1,,['https://pbs.twimg.com/profile_images/1481021145025376256/M-6jTEfN_mini.jpg'],https://twitter.com/SliccPulla_/status/1480740265757396993
Falthoos♡ᴱˢᵖ ᵒⁿ ᴶᴬᴺ ¹³ᵗʰ,@Falthoos22,2022-01-11T09:45:48.000Z,"Falthoos♡ᴱˢᵖ ᵒⁿ ᴶᴬᴺ ¹³ᵗʰ
@Falthoos22
·
Jan 11","If it's Neethanadi female version going to be sivu voice, I'll be very Happy to hear full felged melody song in her voice

Already I'm looping to her ""Nee usuru pulla""",♥ ✨ 🤞 💫,,,,[],https://twitter.com/Falthoos22/status/1480838344393166848
K.S ᴱˢᵖ ᵒⁿ ᴶᴬᴺ ¹³ᵗʰ,@KS09420530,2022-01-11T10:47:12.000Z,"K.S ᴱˢᵖ ᵒⁿ ᴶᴬᴺ ¹³ᵗʰ
@KS09420530
·
Jan 11","A melody from her voice 
na innum nee yen usuru pulla la irunthe veliya varala
GIF",🦋 💜 🥺 😭 😭 😭 😭 ❤ ❤ ❤,,,,[],https://twitter.com/KS09420530/status/1480853796917956610
Shalini,@Shalini960101,2022-01-11T11:09:47.000Z,"Shalini
@Shalini960101
·
Jan 11","This song is too good 
#GVPrakash
@gvprakash
youtube.com
Nee Yen Usuru Pulla - Lyric Video | Siddhu Kumar | GV Prakash |...
Presenting you the Official Lyrical Video of Nee Yen Usurupulla From Anandham Vilayadum Veedu Written & Directed by Nanda Periyasamy and Produced by Sri Vaa...",😍,,,,['https://pbs.twimg.com/card_img/1480515066583728130/KuaTluoc?format=jpg&name=240x240'],https://twitter.com/Shalini960101/status/1480859478006272003
Yash Thackeray,@thackeray_yash,2022-01-11T06:29:42.000Z,"Yash Thackeray
@thackeray_yash
·
Jan 11","https://livemint.com/science/health/the-dangerous-failure-to-stop-tainted-remdesivir-11640197634967.html…

The dangerous failure to stop tainted remdesivir

A story by Mint reporter, Priyanka Pulla, explains how the toxic batches of Remdesivir killed large number of people in second wave (& first wave) of  induced COVID in India.
livemint.com
The dangerous failure to stop tainted remdesivir
During the pandemic’s deadly second wave, one firm’s substandard medication made many Indian patients sick.Bihar’s regulator identified the cause. Their testing found Cadila’s batch V100167 to...
1",💉,1,,,['https://pbs.twimg.com/card_img/1476483390928875522/Q8CGi9bb?format=jpg&name=small'],https://twitter.com/thackeray_yash/status/1480788993935482884
